"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Zfp974",3.48276385824788e-07,-1.43269113761666,0.006,0.032,0.0087379062439581
"Lrrc47",3.54352117635614e-07,-0.41680206603053,0.061,0.112,0.00889034027935993
"Nfkbib",3.56844555942052e-07,-0.458331189850277,0.125,0.19,0.00895287306403014
"Gm12018",3.59271705939567e-07,-0.704043528931379,0.012,0.042,0.00901376783031779
"Eftud1",3.60921242981259e-07,1.24240410040951,0.081,0.042,0.0090551530651568
"Nat8f1",3.61592608578691e-07,-0.901419057133511,0.009,0.036,0.00907199695663079
"Rbm43",3.61625346913764e-07,0.305696352440024,0.076,0.131,0.00907281832871943
"Fxyd7",3.62703783958098e-07,-1.37508473597953,0.011,0.039,0.00909987523572473
"Tmem231",3.63041880863627e-07,1.53807143674612,0.119,0.073,0.00910835774898753
"Gm17383",3.64513174950814e-07,-0.696553815542801,0.006,0.032,0.00914527104634098
"Sap30bp",3.65234610706769e-07,-0.23453337963665,0.133,0.201,0.00916337114802214
"Gm16244",3.71885813604853e-07,-0.933378973250068,0.004,0.028,0.00933024317753215
"Nradd",3.72015763016779e-07,-0.508085784213695,0.037,0.08,0.00933350347832797
"5033417F24Rik",3.79938501473198e-07,-1.28345093062564,0.003,0.025,0.00953227706346105
"Slc12a8",3.80200343681637e-07,-1.36468806427908,0.01,0.038,0.0095388464226286
"Hipk3",3.83372403342621e-07,0.270513056810781,0.227,0.314,0.00961843022746301
"Atp5s",3.84231722365092e-07,1.61434360071505,0.062,0.029,0.0096399896824178
"Htatip2",3.85633873129114e-07,0.250854212379914,0.069,0.123,0.00967516824293635
"Scamp5",3.85855946581364e-07,2.68657985950775,0.094,0.053,0.00968073984377985
"9030624J02Rik",3.89300433683501e-07,0.833989478778312,0.153,0.096,0.00976715858068535
"Gm11599",3.90682226286762e-07,-0.626984458137816,0.004,0.028,0.00980182637530858
"Rbms1",3.96745858500164e-07,0.649835393261132,0.688,0.662,0.00995395684391061
"Wnt9a",3.9895101720747e-07,-1.46578112158697,0.013,0.043,0.0100092820707182
"Cdon",3.99004050422162e-07,-3.49063406219841,0.011,0.04,0.0100106126210416
"I830012O16Rik",4.01848158129251e-07,2.32595522750122,0.029,0.008,0.0100819684393048
"Frzb",4.03736587988155e-07,-3.47970075144405,0.068,0.118,0.0101293472560348
"Car1",4.07331604915925e-07,-3.53134010620138,0.002,0.023,0.0102195426357357
"2610044O15Rik8",4.09352647968957e-07,0.306909562980984,0.095,0.157,0.0102702485848932
"Cdk19",4.10026678269692e-07,-0.32864807446211,0.072,0.124,0.0102871593311083
"Bfar",4.12792261179876e-07,1.00175707826152,0.184,0.124,0.0103565450407419
"Cfap45",4.13940979317067e-07,-0.402781874499892,0.014,0.044,0.0103853652300859
"Nrn1",4.17790975883035e-07,-2.56025942968132,0.006,0.031,0.0104819577939295
"Slc25a3",4.20550528929261e-07,0.310486357600306,0.841,0.782,0.0105511922203062
"E230013L22Rik",4.22452106332663e-07,-1.27477008912035,0.002,0.023,0.0105989008957802
"Arhgap17",4.25920719702532e-07,-0.226382744237263,0.148,0.219,0.0106859249366168
"Fam3d",4.26721744239899e-07,-2.90866630296159,0,0.018,0.0107060218412348
"Hoxa13",4.26721744239899e-07,-5.48975752438088,0,0.018,0.0107060218412348
"Gm12500",4.26721744239899e-07,-3.72139248467735,0,0.018,0.0107060218412348
"Ube4bos3",4.26721744239899e-07,-2.71194349395038,0,0.018,0.0107060218412348
"Rnf144b",4.30238033505815e-07,-2.4614426642671,0.015,0.046,0.0107942420226274
"2010320M18Rik",4.33417808941243e-07,0.518306596404458,0.069,0.033,0.0108740194085268
"Brd7",4.34314716179663e-07,-0.465946779776194,0.151,0.216,0.0108965219142316
"Gm14138",4.35134888003214e-07,-0.443853693574765,0.002,0.023,0.0109170992051126
"P4ha3",4.36283097489432e-07,-3.47236263644144,0.004,0.026,0.0109459066329124
"Zfp384",4.37365781433754e-07,0.25358799386295,0.14,0.087,0.0109730700903915
"Pctp",4.37368885352702e-07,-2.82169010699677,0.009,0.035,0.0109731479646139
"Naa10",4.37909702055252e-07,-0.258673224106181,0.173,0.245,0.0109867165148642
"Thap6",4.41790038328211e-07,0.834626585418941,0.056,0.105,0.0110840702716165
"Unc45a",4.43862471227127e-07,-0.560416614678503,0.247,0.32,0.0111360655406174
"Armcx3",4.46600705947479e-07,-0.952925534175897,0.231,0.291,0.0112047651115163
"Rhou",4.53428464869226e-07,-3.40659342309752,0.007,0.033,0.011376066755104
"Gcn1l1",4.57179201201698e-07,0.442482787700411,0.148,0.092,0.0114701689789494
"Tmco1",4.57846094327813e-07,0.728112739585506,0.623,0.597,0.0114869006605905
"Scube1",4.59727975243021e-07,1.64844503309208,0.105,0.062,0.0115341151708721
"Rps4x-ps",4.60628024522562e-07,-0.487827260760938,0.001,0.021,0.0115566965072466
"BC037704",4.64552642371486e-07,1.34675246273259,0.024,0.005,0.0116551612444582
"Gipc3",4.64835742521559e-07,2.97292835323123,0.016,0.002,0.0116622639441234
"Cilp2",4.65900513877274e-07,-2.08857236020188,0.007,0.033,0.0116889779926669
"Tmem132a",4.68152357601144e-07,0.893169121847057,0.151,0.098,0.0117454744998551
"Parp16",4.70373717889807e-07,-1.7327075383985,0.016,0.048,0.0118012062081374
"Optc",4.71004412267435e-07,-4.4933073954305,0.003,0.024,0.0118170296993777
"Ndufaf1",4.72004017860009e-07,0.393318187849907,0.051,0.099,0.0118421088040898
"Rap1b",4.75405382830628e-07,0.271719712039447,0.445,0.567,0.0119274456498376
