"468","Rev1"
"469","Chst10"
"470","Pdcl3"
"471","Rpl31"
"472","Snord89"
"473","Cnot11"
"474","Rnf149"
"475","Creg2"
"476","Gm3646"
"477","Gm16894"
"478","Il1rl2"
"479","Il18r1"
"480","Il1rl1"
"481","Slc9a4"
"482","Il18rap"
"483","Mfsd9"
"484","Tmem182"
"485","4930448I06Rik"
"486","Pou3f3"
"487","2900092D14Rik"
"488","Pantr2"
"489","Pantr1"
"490","AI597479"
"491","Tgfbrap1"
"492","Fhl2"
"493","1500015O10Rik"
"494","Mettl21c"
"495","Tpp2"
"496","Tex30"
"497","Kdelc1"
"498","Bivm"
"499","Mettl21e"
"500","4930521E06Rik"
"501","Col3a1"
"502","Wdr75"
"503","Slc40a1"
"504","Gm4776"
"505","Slc39a10"
"506","Sdpr"
"507","Nabp1"
"508","Stat1"
"509","Nab1"
"510","Tmem194b"
"511","Inpp1"
"512","1700019D03Rik"
"513","Hibch"
"514","Mstn"
"515","1700019A02Rik"
"516","Ormdl1"
"517","Osgepl1"
"518","Stk17b"
"519","Mir7681"
"520","Gtf3c3"
"521","Sf3b1"
"522","Mob4"
"523","Coq10b"
"524","Hspe1"
"525","Hspd1"
"526","Mars2"
"527","Hsfy2"
"528","9130024F11Rik"
"529","BC055402"
"530","Tyw5"
"531","1700066M21Rik"
"532","Kctd18"
"533","Sgol2"
"534","Aox4"
"535","Bzw1"
"536","Ppil3"
"537","Clk1"
"538","Orc2"
"539","Fam126b"
"540","Als2cr12"
"541","Gm20257"
"542","Casp8"
"543","Trak2"
"544","Als2cr11"
"545","Mpp4"
"546","Als2"
"547","Cdk15"
"548","Fzd7"
"549","Gm973"
"550","Sumo1"
"551","Nop58"
"552","Snord11"
"553","Fam117b"
"554","Wdr12"
"555","Carf"
"556","Cyp20a1"
"557","Cd28"
"558","Ctla4"
"559","Icos"
"560","9530026F06Rik"
"561","4930487H11Rik"
"562","Ino80dos"
"563","Ino80d"
"564","Eef1b2"
"565","Snora41"
"566","Gpr1"
"567","Dytn"
"568","4933402D24Rik"
"569","Fastkd2"
"570","Mir1958"
"571","Gm13749"
"572","Mir6899"
"573","Creb1"
"574","Mettl21a"
"575","Fzd5"
"576","Ccnyl1"
"577","2810408I11Rik"
"578","D630023F18Rik"
"579","Akr1cl"
"580","Cryge"
"581","Idh1"
"582","Pth2r"
"583","Kansl1l"
"584","Myl1"
"585","Lancl1"
"586","Cps1"
"587","Apol7d"
"588","Fn1"
"589","Gm8883"
"590","4933417E11Rik"
"591","Mreg"
"592","Pecr"
"593","Tmem169"
"594","Ankar"
"595","Rpl37a"
"596","Igfbp5"
"597","Igfbp2"
"598","Tnp1"
"599","Rufy4"
"600","Cxcr2"
"601","Aamp"
"602","Cxcr1"
"603","Arpc2"
"604","Tmbim1"
"605","Gpbar1"
"606","Slc11a1"
"607","Catip"
"608","Vil1"
"609","Ctdsp1"
"610","Mir26b"
"611","Plcd4"
"612","Rqcd1"
"613","Bcs1l"
"614","Stk36"
"615","Rnf25"
"616","Ttll4"
"617","Prkag3"
"618","Cyp27a1"
"619","Wnt6"
"620","Wnt10a"
"621","Ihh"
"622","Ccdc108"
"623","Cdk5r2"
"624","Zfand2b"
"625","Ankzf1"
"626","Slc23a3"
"627","Fam134a"
"628","Abcb6"
"629","Cnppd1"
"630","Stk16"
"631","Tuba4a"
"632","Glb1l"
"633","Atg9a"
"634","Dnpep"
"635","Ptprn"
"636","Resp18"
"637","Dnajb2"
"638","Speg"
"639","Gm15179"
"640","Gmppa"
"641","Asic4"
"642","Chpf"
"643","Tmem198"
"644","Slc4a3"
"645","Stk11ip"
"646","Inha"
"647","Gm17751"
"648","Mir6352"
"649","Farsb"
"650","Utp14b"
"651","Acsl3"
"652","Kcne4"
"653","Scg2"
"654","Ap1s3"
"655","Wdfy1"
"656","Mrpl44"
"657","Fam124b"
"658","Cul3"
"659","Irs1"
"660","Tm4sf20"
"661","Mff"
"662","Agfg1"
"663","Slc19a3"
"664","Daw1"
"665","Ccl20"
"666","Mir6353"
"667","Fbxo36"
"668","A530032D15Rik"
"669","C130026I21Rik"
"670","Gm7609"
"671","Sp100"
"672","Sp140"
"673","9930111H07Rik"
"674","Cab39"
"675","Gpr55"
"676","4933407L21Rik"
"677","Itm2c"
"678","2810459M11Rik"
"679","Spata3"
"680","Htr2b"
"681","Snora75"
"682","Snord82"
"683","Ncl"
"684","C130036L24Rik"
"685","B3gnt7"
"686","Mir3535"
"687","1700019O17Rik"
"688","Nmur1"
"689","Pde6d"
"690","Ptma"
"691","Cops7b"
"692","Nppc"
"693","Ecel1"
"694","Akp3"
"695","Alpi"
"696","Chrng"
"697","Eif4e2"
"698","Chrnd"
"699","Kcnj13"
"700","Neu2"
"701","Atg16l1"
"702","Scarna6"
"703","Dgkd"
"704","Dnajb3"
"705","A730008H23Rik"
"706","Hjurp"
"707","Mroh2a"
"708","Ugt1a1"
"709","Spp2"
"710","Glrp1"
"711","Arl4c"
"712","1700067G17Rik"
"713","4933400F21Rik"
"714","Asb18"
"715","Gbx2"
"716","Ackr3"
"717","Cops8"
"718","Mlph"
"719","Rbm44"
"720","Ramp1"
"721","Scly"
"722","Ube2f"
"723","Espnl"
"724","Ilkap"
"725","Fam132b"
"726","Hes6"
"727","Per2"
"728","Asb1"
"729","Traf3ip1"
"730","Twist2"
"731","Ndufa10"
"732","Olfr12"
"733","Myeov2"
"734","Otos"
"735","Ankmy1"
"736","Gpc1"
"737","Rnpepl1"
"738","Dusp28"
"739","Capn10"
"740","Gpr35"
"741","Aqp12"
"742","9430060I03Rik"
"743","2310007B03Rik"
"744","Agxt"
"745","Sned1"
"746","Mterfd2"
"747","Mir6901"
"748","Ano7"
"749","Ppp1r7"
"750","Mir6902"
"751","Mir6345"
"752","Sept2"
"753","Stk25"
"754","Bok"
"755","Ing5"
"756","Dtymk"
"757","Atg4b"
"758","Neu4"
"759","Pdcd1"
"760","4930440C22Rik"
"761","Fam174a"
"762","St8sia4"
"763","4930598F16Rik"
"764","1700063A18Rik"
"765","4930533P14Rik"
"766","Ppip5k2"
"767","1810006J02Rik"
"768","Rnf152"
"769","2310035C23Rik"
"770","Tnfrsf11a"
"771","Zcchc2"
"772","Vps4b"
"773","Kdsr"
"774","Serpinb13"
"775","Serpinb3a"
"776","Serpinb7"
"777","Serpinb8"
"778","Serpinb10"
"779","Cdh19"
"780","Dsel"
"781","Nifk"
"782","Tsn"
"783","2900060B14Rik"
"784","Tfcp2l1"
"785","Tmem185b"
"786","Inhbb"
"787","Ralb"
"788","Epb4.1l5"
"789","Tmem177"
"790","Dbi"
"791","Tmem37"
"792","3110009E18Rik"
"793","Steap3"
"794","C1ql2"
"795","Marco"
"796","En1"
"797","Insig2"
"798","Htr5b"
"799","Ddx18"
"800","Actr3"
"801","Lypd1"
"802","Acmsd"
"803","2900009J06Rik"
"804","Map3k19"
"805","Ubxn4"
"806","Dars"
"807","Mcm6"
"808","Cxcr4"
"809","Cd55"
"810","Zp3r"
"811","C4bp"
"812","AA986860"
"813","Pfkfb2"
"814","Yod1"
"815","Il19"
"816","Pigr"
"817","Dyrk3"
"818","Eif2d"
"819","Ikbke"
"820","Fam72a"
"821","Ctse"
"822","5430435G22Rik"
"823","Avpr1b"
